sample,temp,co2,genotype,cell_conc_per_uL,volume_ul,cell_count,chla_extraction_vol_ml,A665,A750,A632,chla_ug_per_ml,pco2_calculated
26D1,26,100,CCMP1587,24.30,312000,7581600,25,0.0663,0.045,0.0484,0.27342776,320.2716
26D2,26,200,CCMP1587,28.00,312000,8736000,25,0.0609,0.0444,0.0472,0.21136418,548.8557
26D3,26,300,CCMP1587,35.00,312000,10920000,25,0.0654,0.0434,0.0481,0.27922447,526.0989
26D4,26,400,CCMP1587,37.07,312000,11564904,25,0.0595,0.0433,0.0476,0.20335871,577.6004
26D6,26,600,CCMP1587,34.10,312000,10639200,25,0.064,0.0426,0.0473,0.27126523,1006.5287
26D10,26,1000,CCMP1587,135.40,312000.00,42244800,25,0.1232,0.0435,0.0623,1.00679506,1814.3755
30D1,30,100,CCMP1587,3.43,312000,1068600,25,0.048,0.0439,0.0432,0.05626687,374.1605049
30D2,30,200,CCMP1587,5.50,312000,1716000,25,0.0494,0.0427,0.0438,0.08592589,437.4605918
30D3,30,300,CCMP1587,18.25,312000,5694000,25,0.0589,0.0447,0.047,0.18219571,591.0186474
30D4,30,400,CCMP1587,6.35,312000,1981200,50,0.0487,0.0433,0.0431,0.07216994,1112.058314
30D6,30,600,CCMP1587,27.88,312000,8697000,25,0.0677,0.0433,0.0481,0.31079304,1259.063624
30D10,30,1000,CCMP1587,11.65,624000,7269600,25,0.0695,0.0443,0.0484,0.32328409,2139.347074
35D1,35,100,CCMP1587,15.550,312000.0,4851600,25,0.0567,0.0428,0.0449,0.17875287,534.3659499
35D2,35,200,CCMP1587,21.050,312000.0,6567600,25,0.0628,0.0432,0.0468,0.2503398,632.5126854
35D3,35,300,CCMP1587,23.200,312000.0,7238400,25,0.0587,0.0423,0.0454,0.20923247,863.4705063
35D4,35,400,CCMP1587,26.900,312000.0,8392800,25,0.0619,0.0431,0.0467,0.23972748,889.1648209
35D6,35,600,CCMP1587,28.150,312000.0,8782800,25,0.0611,0.0438,0.0465,0.22224489,1379.951023
35D10,35,1000,CCMP1587,26.150,312000.0,8158800,25,0.0685,0.0444,0.0498,0.30520308,2306.834873
26E1,26,100,CCMP2929,22.30,312000,6957600,25,0.0578,0.0444,0.046,0.17346212,340.4587843
26E2,26,200,CCMP2929,31.80,312000,9921600,25,0.0584,0.0462,0.048,0.15700686,375.3888432
26E3,26,300,CCMP2929,26.90,312000,8392800,25,0.0539,0.0441,0.0456,0.12597507,507.7545409
26E4,26,400,CCMP2929,25.25,312000,7878000,25,0.0569,0.0441,0.0455,0.16603966,961.1177433
26E6,26,600,CCMP2929,21.80,312000,6801600,25,0.0541,0.0442,0.0449,0.12944873,1090.921339
26E10,26,1000,CCMP2929,20.10,312000,6271200,25,0.0564,0.045,0.0466,0.14693132,1513.970232
30E1,30,100,CCMP2929,23.45,312000,7316400,25,0.0633,0.0439,0.0466,0.25010223,353.9877396
30E2,30,200,CCMP2929,41.90,312000,13072800,25,0.0642,0.045,0.0481,0.24637559,502.5962051
30E3,30,300,CCMP2929,31.15,312000,9718800,25,0.0533,0.0464,0.0459,0.09287321,591.0186474
30E4,30,400,CCMP2929,42.20,312000,13166400,25,0.0527,0.0442,0.0451,0.11034039,672.0581081
30E6,30,600,CCMP2929,42.40,312000,13228800,50,0.0492,0.0443,0.0424,0.07009987,1128.874628
30E10,30,1000,CCMP2929,32.07,312000,10004280,25,0.0497,0.0424,0.043,0.09522708,2075.454597
35E1,35,100,CCMP2929,5.3000,312000,1653600,25,0.0473,0.0431,0.0428,0.05651985,538.899728
35E2,35,200,CCMP2929,7.4000,312000,2308800,25,0.045,0.043,0.0424,0.02814114,632.5126854
35E3,35,300,CCMP2929,10.9500,312000,3416400,25,0.0481,0.0424,0.0435,0.07266049,863.4705063
35E4,35,400,CCMP2929,11.6250,312000,3627000,25,0.044,0.042,0.0412,0.02867792,1205.409853
35E6,35,600,CCMP2929,12.2000,312000,3806400,25,0.0492,0.0444,0.0448,0.06260036,1346.64541
35E10,35,1000,CCMP2929,8.4000,312000,2620800,25,0.0485,0.0443,0.0441,0.05625146,2306.834873
