temp,ta_measured,growth_rate,ph_measured,ph_calculated,pco2_calculated,dic_calculated,genotype,strain,CO2
16,0.0023259,0.163132533,8.325,8.378604,199.9888,1934.894,CCMP1050,B,100
16,0.002405,0.173725796,8.201,8.253938,297.4407,2086.074,CCMP1050,B,200
16,0.0024841,0.232758922,8.078,8.130082,434.1162,2230.61,CCMP1050,B,300
16,0.0025632,0.222110753,7.996,8.047342,560.3593,2348.311,CCMP1050,B,400
16,0.0027214,0.266552028,7.846,7.895356,886.2319,2571.822,CCMP1050,B,600
16,0.0030378,0.224137071,7.781,7.829282,1172.7991,2908.058,CCMP1050,B,1000
18,0.0023259,0.515489902,8.366,8.392631,193.2389,1906.481,CCMP1050,B,100
18,0.002405,0.532453609,8.188,8.214132,337.0722,2094.062,CCMP1050,B,200
18,0.0024841,0.623781585,8.096,8.121822,450.7868,2220.548,CCMP1050,B,300
18,0.0025632,0.586871917,7.915,7.939858,757.413,2388.222,CCMP1050,B,400
18,0.0027214,0.535573545,7.836,7.860283,989.174,2576.391,CCMP1050,B,600
18,0.0030378,0.354139645,7.781,7.80483,1273.9887,2908.058,CCMP1050,B,1000
22,0.0023259,0.673284414,8.352,8.32596,239.3418,1916.294,CCMP1050,B,100
22,0.002405,0.743014343,8.199,8.173393,387.1557,2087.31,CCMP1050,B,200
22,0.0024841,0.845242669,8.167,8.07075,533.3594,2220.548,CCMP1050,B,300
22,0.0025632,1.000690217,8.096,8.141431,452.7525,2250.861,CCMP1050,B,400
22,0.0027214,0.650364295,7.933,7.908547,905.1675,2530.01,CCMP1050,B,600
22,0.0030378,0.601428501,7.767,7.74392,1546.5396,2914.641,CCMP1050,B,1000
26,0.0023259,0.978553694,8.377,8.300207,261.5946,1898.692,CCMP1050,B,100
26,0.002405,1.207691172,8.169,8.094092,495.0363,2105.538,CCMP1050,B,200
26,0.0024841,1.289817963,8.096,8.021871,625.9193,2220.548,CCMP1050,B,300
26,0.0025632,1.371020406,7.986,7.913459,866.9443,2353.439,CCMP1050,B,400
26,0.0027214,1.412873075,7.832,7.762727,1366.8981,2578.206,CCMP1050,B,600
26,0.0030378,1.243055896,7.702,7.63671,2103.5558,2944.299,CCMP1050,B,1000
30,0.0023259,0.930828637,8.397,8.271109,288.1823,1884.355,CCMP1050,B,100
30,0.002405,1.031143713,8.203,8.08003,525.1317,2084.836,CCMP1050,B,200
30,0.0024841,1.120224455,8.188,8.065149,566.5943,2165.805,CCMP1050,B,300
30,0.0025632,1.202133414,8.105,7.983659,735.1386,2288.408,CCMP1050,B,400
30,0.0027214,1.102179942,7.781,7.670662,1788.0921,2600.76,CCMP1050,B,600
30,0.0030378,1.021398646,7.7058,7.599449,2393.3425,2942.602,CCMP1050,B,1000
33,0.0023259,0.36999113,8.317,8.157135,409.1641,1940.321,CCMP1050,B,100
33,0.002405,0.419245163,8.201,8.043469,590.1333,2086.074,CCMP1050,B,200
33,0.0024841,0.740284228,8.136,7.979921,730.1614,2197.435,CCMP1050,B,300
33,0.0025632,0.770747965,7.916,7.76763,1338.7212,2387.751,CCMP1050,B,400
33,0.0027214,0.699319667,7.781,7.640041,1979.1827,2600.76,CCMP1050,B,600
33,0.0030378,0.394080054,7.746,7.607251,2404.9944,2924.378,CCMP1050,B,1000
16,NA,0,NA,NA,0,0,CCMP1050,B,0
18,NA,0,NA,NA,0,0,CCMP1050,B,0
22,NA,0,NA,NA,0,0,CCMP1050,B,0
26,NA,0,NA,NA,0,0,CCMP1050,B,0
30,NA,0,NA,NA,0,0,CCMP1050,B,0
33,NA,0,NA,NA,0,0,CCMP1050,B,0
26,0.0022259,1.615532681,8.293,8.217105,320.2716,0.001867847,CCMP1587,D,100
26,0.00191,1.602309501,8.043,7.970441,548.8557,0.00171386,CCMP1587,D,200
26,0.002071,1.655474456,8.090,8.016531,526.0989,0.001841746,CCMP1587,D,300
26,0.0021835,1.656893724,8.076,8.002542,577.6004,0.001952884,CCMP1587,D,400
26,0.0021157,1.806987831,7.851,7.781753,1006.5287,0.001986861,CCMP1587,D,600
26,0.0022676,1.468769847,7.640,7.577247,1814.3755,0.002209934,CCMP1587,D,1000
30,0.0022259,1.53214992,8.293,8.168906072,374.1605049,0.001867847,CCMP1587,D,100
30,0.00191,1.892639036,8.181,8.059575002,437.4605918,0.001648682,CCMP1587,D,200
30,0.002071,1.96469592,8.103,7.982693971,591.0186474,0.001835346,CCMP1587,D,300
30,0.0021835,2.146089251,7.882,7.767796535,1112.058314,0.002039851,CCMP1587,D,400
30,0.0021157,1.863492283,7.819,7.70746676,1259.063624,0.001998792,CCMP1587,D,600
30,0.0022676,1.715700805,7.627,7.525772037,2139.347074,0.002214323,CCMP1587,D,1000
35,0.0022259,1.585997137,8.233,8.052363675,534.3659499,0.001905116,CCMP1587,D,100
35,0.00191,1.670050401,8.113,7.936754694,632.5126854,0.001682067,CCMP1587,D,200
35,0.002071,1.688317299,8.028,7.854293489,863.4705063,0.001870981,CCMP1587,D,300
35,0.0021835,1.731058521,8.038,7.863618393,889.1648209,0.00197148,CCMP1587,D,400
35,0.0021157,1.73878288,7.851,7.685984324,1379.951023,0.001986861,CCMP1587,D,600
35,0.0022676,1.728077191,7.663,7.512191122,2306.834873,0.002202103,CCMP1587,D,1000
26,0.0022259,1.593431929,8.272,8.196300985,340.4587843,0.001881139,CCMP2929,E,100
26,0.00191,1.607581453,8.181,8.106748665,375.3888432,0.001648682,CCMP2929,E,200
26,0.002071,1.62362371,8.103,8.02936537,507.7545409,0.001835346,CCMP2929,E,300
26,0.0021835,1.627645947,7.882,7.811955175,961.1177433,0.002039851,CCMP2929,E,400
26,0.0021157,1.602873404,7.819,7.75056006,1090.921339,0.001998792,CCMP2929,E,600
26,0.0022676,1.575938563,7.715,7.649557423,1513.970232,0.002184002,CCMP2929,E,1000
30,0.0022259,1.761357969,8.312,8.187607903,353.9877396,0.001855593,CCMP2929,E,100
30,0.00191,1.860726155,8.131,8.01052578,502.5962051,0.001673473,CCMP2929,E,200
30,0.002071,1.879230366,8.103,7.982693971,591.0186474,0.001835346,CCMP2929,E,300
30,0.0021835,1.878062705,8.076,7.956036991,672.0581081,0.001952884,CCMP2929,E,400
30,0.0021157,1.875358018,7.863,7.749635059,1128.874628,0.001982285,CCMP2929,E,600
30,0.0022676,1.838733883,7.640,7.537949018,2075.454597,0.002209934,CCMP2929,E,1000
35,0.0022259,1.48583881,8.230,8.049442637,538.899728,0.001906921,CCMP2929,E,100
35,0.00191,1.552465231,8.113,7.936754694,632.5126854,0.001682067,CCMP2929,E,200
35,0.002071,1.634813665,8.028,7.854293489,863.4705063,0.001870981,CCMP2929,E,300
35,0.0021835,1.645646605,7.919,7.749994095,1205.409853,0.002024708,CCMP2929,E,400
35,0.0021157,1.660649294,7.861,7.695376109,1346.64541,0.001983052,CCMP2929,E,600
35,0.0022676,1.582012853,7.663,7.512191122,2306.834873,0.002202103,CCMP2929,E,1000
