temp_rel,temp,strain,transfer,gr,replicate
T1,35.2,7B,tr1,-0.158260814,1
T1,35.2,7B,tr1,0.192445102,2
T1,35.2,7B,tr1,0.253903842,3
T1,35.2,7D,tr1,0.85905525,1
T1,35.2,7D,tr1,0.908232824,2
T1,35.2,7D,tr1,0.947788825,3
T1,35.2,7E,tr1,0.968654736,1
T1,35.2,7E,tr1,0.955780604,2
T1,35.2,7E,tr1,1.029453876,3
T2,32,7B,tr1,0.723329317,1
T2,32,7B,tr1,0.668765926,2
T2,32,7B,tr1,0.78009368,3
T2,32,7D,tr1,1.312671544,1
T2,32,7D,tr1,1.217148604,2
T2,32,7D,tr1,1.3531323,3
T2,32,7E,tr1,1.213397994,1
T2,32,7E,tr1,1.088478145,2
T2,32,7E,tr1,1.131535808,3
T3,28.5,7B,tr1,0.997472346,1
T3,28.5,7B,tr1,1.114753086,2
T3,28.5,7B,tr1,1.009502159,3
T3,28.5,7D,tr1,1.457046766,1
T3,28.5,7D,tr1,1.44214169,2
T3,28.5,7D,tr1,1.429003816,3
T3,28.5,7E,tr1,0.949607451,1
T3,28.5,7E,tr1,1.004279751,2
T3,28.5,7E,tr1,0.955102178,3
T4,25,7B,tr1,1.107306788,1
T4,25,7B,tr1,0.9968486,2
T4,25,7B,tr1,1.049073899,3
T4,25,7D,tr1,1.311142938,1
T4,25,7D,tr1,1.245623907,2
T4,25,7D,tr1,1.211571356,3
T4,25,7E,tr1,0.918594289,1
T4,25,7E,tr1,0.916224603,2
T4,25,7E,tr1,0.910200215,3
T5,22,7B,tr1,0.864526604,1
T5,22,7B,tr1,0.798535217,2
T5,22,7B,tr1,0.83028514,3
T5,22,7D,tr1,1.222441898,1
T5,22,7D,tr1,1.245714503,2
T5,22,7D,tr1,1.22040107,3
T5,22,7E,tr1,0.884949092,1
T5,22,7E,tr1,0.911325346,2
T5,22,7E,tr1,0.869680014,3
T6,18,7B,tr1,0.515944971,1
T6,18,7B,tr1,0.53157506,2
T6,18,7B,tr1,0.546285185,3
T6,18,7D,tr1,1.030158626,1
T6,18,7D,tr1,0.838681992,2
T6,18,7D,tr1,0.696408359,3
T6,18,7E,tr1,0.769058405,1
T6,18,7E,tr1,0.686741074,2
T6,18,7E,tr1,0.615218962,3
T7,15.5,7B,tr1,0.308045841,1
T7,15.5,7B,tr1,-0.101356356,2
T7,15.5,7B,tr1,-0.038527749,3
T7,15.5,7D,tr1,0.258811883,1
T7,15.5,7D,tr1,0.104052081,2
T7,15.5,7D,tr1,0.228161303,3
T7,15.5,7E,tr1,0.207212952,1
T7,15.5,7E,tr1,0.175378097,2
T7,15.5,7E,tr1,0.175378097,3
T1,35.2,7B,tr2,0.693397306,1
T1,35.2,7B,tr2,0.311003463,2
T1,35.2,7B,tr2,0.559667942,3
T1,35.2,7D,tr2,0.668412194,1
T1,35.2,7D,tr2,0.717152567,2
T1,35.2,7D,tr2,0.926252209,3
T1,35.2,7E,tr2,1.02479596,1
T1,35.2,7E,tr2,1.115114975,2
T1,35.2,7E,tr2,1.255392549,3
T2,32,7B,tr2,0.909894041,1
T2,32,7B,tr2,0.970738505,2
T2,32,7B,tr2,0.831296615,3
T2,32,7D,tr2,1.351072986,1
T2,32,7D,tr2,1.451531274,2
T2,32,7D,tr2,1.265523789,3
T2,32,7E,tr2,1.273184737,1
T2,32,7E,tr2,0.919783701,2
T2,32,7E,tr2,0.856957511,3
T3,28.5,7B,tr2,1.309147947,1
T3,28.5,7B,tr2,1.251096225,2
T3,28.5,7B,tr2,1.351159049,3
T3,28.5,7D,tr2,1.57312327,1
T3,28.5,7D,tr2,1.535059389,2
T3,28.5,7D,tr2,1.54994942,3
T3,28.5,7E,tr2,1.095154794,1
T3,28.5,7E,tr2,1.034824699,2
T3,28.5,7E,tr2,1.038684163,3
T4,25,7B,tr2,1.140837173,1
T4,25,7B,tr2,1.127879252,2
T4,25,7B,tr2,1.104342291,3
T4,25,7D,tr2,1.525113027,1
T4,25,7D,tr2,1.222189522,2
T4,25,7D,tr2,1.36184574,3
T4,25,7E,tr2,1.017744631,1
T4,25,7E,tr2,1.014726433,2
T4,25,7E,tr2,0.996813104,3
T5,22,7B,tr2,1.001833296,1
T5,22,7B,tr2,1.153367247,2
T5,22,7B,tr2,0.9255829,3
T5,22,7D,tr2,0.967245362,1
T5,22,7D,tr2,1.044055175,2
T5,22,7D,tr2,0.932408381,3
T5,22,7E,tr2,0.972744992,1
T5,22,7E,tr2,1.014647792,2
T5,22,7E,tr2,0.985861373,3
T6,18,7B,tr2,1.050932307,1
T6,18,7B,tr2,0.934639896,2
T6,18,7B,tr2,0.881864004,3
T6,18,7D,tr2,0.738412874,1
T6,18,7D,tr2,0.901085655,2
T6,18,7D,tr2,0.994140382,3
T6,18,7E,tr2,0.828898311,1
T6,18,7E,tr2,0.873037864,2
T6,18,7E,tr2,0.85671632,3
T7,15.5,7B,tr2,0.209632263,1
T7,15.5,7B,tr2,0.317268651,2
T7,15.5,7B,tr2,0.234735391,3
T7,15.5,7D,tr2,0.233358493,1
T7,15.5,7D,tr2,0.189684447,2
T7,15.5,7D,tr2,0.111984443,3
T7,15.5,7E,tr2,0.099984519,1
T7,15.5,7E,tr2,0.091397491,2
T7,15.5,7E,tr2,0.05378367,3
T1,35.2,7B,tr3,0.4182552,1
T1,35.2,7B,tr3,0.633126262,2
T1,35.2,7B,tr3,1.001100641,3
T1,35.2,7D,tr3,0.406538856,1
T1,35.2,7D,tr3,0.464382254,2
T1,35.2,7D,tr3,0.945536756,3
T1,35.2,7E,tr3,0.74647257,1
T1,35.2,7E,tr3,0.904449403,2
T1,35.2,7E,tr3,0.984285175,3
T2,32,7B,tr3,1.527675102,1
T2,32,7B,tr3,1.530956416,2
T2,32,7B,tr3,1.484392899,3
T2,32,7D,tr3,1.525439046,1
T2,32,7D,tr3,1.503417176,2
T2,32,7D,tr3,1.621172084,3
T2,32,7E,tr3,1.20975677,1
T2,32,7E,tr3,1.336478011,2
T2,32,7E,tr3,1.29563687,3
T3,28.5,7B,tr3,1.316840748,1
T3,28.5,7B,tr3,1.345553133,2
T3,28.5,7B,tr3,1.229012429,3
T3,28.5,7D,tr3,1.349397241,1
T3,28.5,7D,tr3,1.503976655,2
T3,28.5,7D,tr3,1.443754879,3
T3,28.5,7E,tr3,1.115494763,1
T3,28.5,7E,tr3,1.152570399,2
T3,28.5,7E,tr3,1.117659085,3
T4,25,7B,tr3,0.945248686,1
T4,25,7B,tr3,1.047506408,2
T4,25,7B,tr3,1.015363246,3
T4,25,7D,tr3,1.327609971,1
T4,25,7D,tr3,1.527766196,2
T4,25,7D,tr3,1.4518964,3
T4,25,7E,tr3,1.004168844,1
T4,25,7E,tr3,0.981697651,2
T4,25,7E,tr3,0.987158259,3
T5,22,7B,tr3,0.795407913,1
T5,22,7B,tr3,0.814599886,2
T5,22,7B,tr3,0.701872694,3
T5,22,7D,tr3,1.3514415,1
T5,22,7D,tr3,1.332574693,2
T5,22,7D,tr3,1.344109429,3
T5,22,7E,tr3,0.856876062,1
T5,22,7E,tr3,0.859432927,2
T5,22,7E,tr3,0.856064968,3
T6,18,7B,tr3,0.58153841,1
T6,18,7B,tr3,0.481698342,2
T6,18,7B,tr3,0.433402527,3
T6,18,7D,tr3,0.843489411,1
T6,18,7D,tr3,0.825274632,2
T6,18,7D,tr3,0.722229567,3
T6,18,7E,tr3,0.685854135,1
T6,18,7E,tr3,0.663762135,2
T6,18,7E,tr3,0.195869349,3
T7,15.5,7B,tr3,0.051383856,1
T7,15.5,7B,tr3,-0.134991853,2
T7,15.5,7B,tr3,-0.055361058,3
T7,15.5,7D,tr3,-0.316019819,1
T7,15.5,7D,tr3,0,2
T7,15.5,7D,tr3,0,3
T7,15.5,7E,tr3,0.020753875,1
T7,15.5,7E,tr3,0.009284844,2
T7,15.5,7E,tr3,-0.051381493,3
T1,35.2,7B,tr4,-0.292978315,1
T1,35.2,7B,tr4,0.44448396,2
T1,35.2,7B,tr4,0.98273527,3
T1,35.2,7D,tr4,-0.093104608,1
T1,35.2,7D,tr4,0.032660136,2
T1,35.2,7D,tr4,0.752718386,3
T1,35.2,7E,tr4,0.578252467,1
T1,35.2,7E,tr4,0.933266687,2
T1,35.2,7E,tr4,1.354614333,3
T2,32,7B,tr4,1.589715783,1
T2,32,7B,tr4,1.594646779,2
T2,32,7B,tr4,1.623673456,3
T2,32,7D,tr4,1.747959599,1
T2,32,7D,tr4,1.752243421,2
T2,32,7D,tr4,1.75260699,3
T2,32,7E,tr4,1.666511861,1
T2,32,7E,tr4,1.472018918,2
T2,32,7E,tr4,1.59011805,3
T3,28.5,7B,tr4,1.516471635,1
T3,28.5,7B,tr4,1.51730415,2
T3,28.5,7B,tr4,1.604341518,3
T3,28.5,7D,tr4,1.625230815,1
T3,28.5,7D,tr4,1.704064423,2
T3,28.5,7D,tr4,1.684824551,3
T3,28.5,7E,tr4,1.568320647,1
T3,28.5,7E,tr4,1.604668481,2
T3,28.5,7E,tr4,1.505610234,3
T4,25,7B,tr4,1.437407216,1
T4,25,7B,tr4,0.815600522,2
T4,25,7B,tr4,0.94421525,3
T4,25,7D,tr4,1.443035659,1
T4,25,7D,tr4,1.340576894,2
T4,25,7D,tr4,1.325421401,3
T4,25,7E,tr4,1.493222952,1
T4,25,7E,tr4,1.478240371,2
T4,25,7E,tr4,1.44671111,3
T5,22,7B,tr4,0.955920374,1
T5,22,7B,tr4,0.801727195,2
T5,22,7B,tr4,0.779811496,3
T5,22,7D,tr4,1.263462569,1
T5,22,7D,tr4,1.257046326,2
T5,22,7D,tr4,1.23905375,3
T5,22,7E,tr4,1.14254651,1
T5,22,7E,tr4,1.163420771,2
T5,22,7E,tr4,1.115773022,3
T6,18,7B,tr4,0.415036646,1
T6,18,7B,tr4,0.258118372,2
T6,18,7B,tr4,0.229275891,3
T6,18,7D,tr4,0.948060891,1
T6,18,7D,tr4,0.930609503,2
T6,18,7D,tr4,0.856086709,3
T6,18,7E,tr4,0.941222926,1
T6,18,7E,tr4,0.925531793,2
T6,18,7E,tr4,0.832801252,3
T7,15.5,7B,tr4,0.071008884,1
T7,15.5,7B,tr4,0.108981028,2
T7,15.5,7B,tr4,0,3
T7,15.5,7D,tr4,0,1
T7,15.5,7D,tr4,0,2
T7,15.5,7D,tr4,0,3
T7,15.5,7E,tr4,0.031964675,1
T7,15.5,7E,tr4,-0.027537352,2
T7,15.5,7E,tr4,0.043988406,3
