genotype,temp,co2,startpCO2,endpCO2
CCMP1587,26,100,320.2716442,327.6167545
CCMP1587,26,200,417.5409764,399.3039391
CCMP1587,26,300,526.0988577,392.9228238
CCMP1587,26,400,577.6003947,702.9538938
CCMP1587,26,600,1006.52875,516.573834
CCMP1587,26,1000,1814.375491,17.16130918
CCMP1587,30,100,374.1605049,594.723853
CCMP1587,30,200,437.4605918,812.7197414
CCMP1587,30,300,591.0186474,826.9830793
CCMP1587,30,400,1112.058314,1319.182459
CCMP1587,30,600,1259.063624,569.4888115
CCMP1587,30,1000,2139.347074,510.2108074
CCMP1587,35,100,534.3659499,381.4077335
CCMP1587,35,200,632.5126854,468.7532924
CCMP1587,35,300,863.4705063,525.365515
CCMP1587,35,400,889.1648209,557.6900746
CCMP1587,35,600,1379.951023,785.1363213
CCMP1587,35,1000,2306.834873,685.3086165
CCMP2929,26,100,340.4587843,344.9535421
CCMP2929,26,200,375.3888432,458.3822491
CCMP2929,26,300,507.7545409,722.1854889
CCMP2929,26,400,961.1177433,616.0798084
CCMP2929,26,600,1090.921339,1008.510046
CCMP2929,26,1000,1513.970232,1217.214992
CCMP2929,30,100,353.9877396,269.6803
CCMP2929,30,200,502.5962051,383.5988
CCMP2929,30,300,591.0186474,971.1686
CCMP2929,30,400,672.0581081,797.914
CCMP2929,30,600,1128.874628,2655.125
CCMP2929,30,1000,2075.454597,1359.247
CCMP2929,35,100,538.899728,1520.014
CCMP2929,35,200,632.5126854,1613.867
CCMP2929,35,300,863.4705063,1383.943
CCMP2929,35,400,1205.409853,1747.063
CCMP2929,35,600,1346.64541,1916.306
CCMP2929,35,1000,2306.834873,2507.241
