"genotype","temperature","CO2","growth_rate"
"CCMP2929","26",340.4587843,1.593431929
"CCMP2929","26",375.3888432,1.607581453
"CCMP2929","26",507.7545409,1.62362371
"CCMP2929","26",961.1177433,1.627645947
"CCMP2929","26",1090.921339,1.602873404
"CCMP2929","26",1513.970232,1.575938563
"CCMP2929","30",353.9877396,1.761357969
"CCMP2929","30",502.5962051,1.860726155
"CCMP2929","30",591.0186474,1.879230366
"CCMP2929","30",672.0581081,1.878062705
"CCMP2929","30",1128.874628,1.875358018
"CCMP2929","30",2075.454597,1.838733883
"CCMP2929","35",538.899728,1.48583881
"CCMP2929","35",632.5126854,1.552465231
"CCMP2929","35",863.4705063,1.634813665
"CCMP2929","35",1205.409853,1.645646605
"CCMP2929","35",1346.64541,1.660649294
"CCMP2929","35",2306.834873,1.582012853
"CCMP2929","26",0,0
"CCMP2929","30",0,0
"CCMP2929","35",0,0
